2026-09-02T10:23:47.5716359+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-02T10:23:48.1645239+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T10:23:48.3919064+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 195 MB.
2026-09-02T10:23:53.1821865+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 216 MB.
2026-09-02T10:23:54.4847432+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T10:23:58.1819908+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 250 MB.
2026-09-02T10:24:03.1843088+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 291 MB.
2026-09-02T10:24:03.5109994+05:30 | Information | Lifecycle | Window created.
2026-09-02T10:24:03.5298355+05:30 | Information | Lifecycle | Window activated.
2026-09-02T10:24:08.1863717+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 323 MB.
2026-09-02T10:24:13.1824320+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 350 MB.
2026-09-02T10:24:18.1814256+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 353 MB.
2026-09-02T10:24:18.2432850+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:24:22.6891231+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-02T10:24:22.7059509+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:22.7681209+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:22.8549011+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 29. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:24:22.8619308+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 29 calls.
2026-09-02T10:24:22.8622800+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 7 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:24:23.1811891+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 361 MB.
2026-09-02T10:24:24.3896733+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-02T10:24:24.3956252+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-02T10:24:24.3961831+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:27.7093795+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:24:28.1815208+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 5 MB. Working set: 366 MB.
2026-09-02T10:24:31.1699430+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 2.
2026-09-02T10:24:31.1785117+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:31.2112609+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:31.2709417+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:24:31.2720942+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:24:31.2723054+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 1 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:24:33.1805060+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 5 MB. Working set: 368 MB.
2026-09-02T10:24:33.6694835+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 2.
2026-09-02T10:24:33.6738438+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 3.
2026-09-02T10:24:33.6741501+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:35.7696990+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:24:38.1823319+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 2 MB. Working set: 368 MB.
2026-09-02T10:24:38.2688472+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 3.
2026-09-02T10:24:38.2711316+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:38.2985542+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:38.3833112+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 10. WebView destroyed first: True.
2026-09-02T10:24:38.3942289+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 10 ticks.
2026-09-02T10:24:38.3960709+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 11 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:24:39.4050097+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 3.
2026-09-02T10:24:39.4241312+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 4.
2026-09-02T10:24:39.4267128+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:43.1822565+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 3 MB. Working set: 372 MB.
2026-09-02T10:24:43.9983398+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-02T10:24:43.9995605+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:44.0165886+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:24:44.0854747+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 3 callbacks.
2026-09-02T10:24:45.5625467+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 4.
2026-09-02T10:24:45.5696832+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 5.
2026-09-02T10:24:45.5724358+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:24:48.1895040+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 4 MB. Working set: 378 MB.
2026-09-02T10:24:48.4671926+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:24:49.4509853+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 5.
2026-09-02T10:24:49.4521501+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:24:49.4728437+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
