2026-09-02T10:15:06.8780163+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-02T10:15:06.9025619+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T10:15:06.9088162+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 82 MB.
2026-09-02T10:15:07.4090357+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T10:15:07.7294072+05:30 | Information | Lifecycle | Window created.
2026-09-02T10:15:07.7502693+05:30 | Information | Lifecycle | Window activated.
2026-09-02T10:15:11.9074418+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T10:15:16.9097173+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 243 MB.
2026-09-02T10:15:21.9064212+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 237 MB.
2026-09-02T10:15:26.9151953+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 237 MB.
2026-09-02T10:15:31.9092332+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 236 MB.
2026-09-02T10:15:36.9104811+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 240 MB.
2026-09-02T10:15:39.4771287+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T10:15:41.9077318+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 239 MB.
2026-09-02T10:15:42.8123887+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T10:15:42.8150766+05:30 | Information | Lifecycle | Window activated.
2026-09-02T10:15:45.9198226+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T10:15:46.9134864+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 241 MB.
2026-09-02T10:15:51.2177375+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T10:15:51.2188287+05:30 | Information | Lifecycle | Window activated.
2026-09-02T10:15:51.2502248+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T10:15:51.2932910+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T10:15:51.2941699+05:30 | Information | Lifecycle | Window activated.
2026-09-02T10:15:51.9076642+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 241 MB.
2026-09-02T10:15:56.9066534+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 240 MB.
2026-09-02T10:15:57.7303064+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:16:01.7006979+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-02T10:16:01.7099760+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:01.7315619+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:01.7352516+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 37. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:16:01.7437264+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 37 calls.
2026-09-02T10:16:01.7451828+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 8 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:16:01.9145808+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 252 MB.
2026-09-02T10:16:03.1968839+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-02T10:16:03.2002974+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-02T10:16:03.2014378+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:06.9047007+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 4 MB. Working set: 261 MB.
2026-09-02T10:16:06.9787715+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:16:09.1360502+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 2.
2026-09-02T10:16:09.1392445+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:09.1607547+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:09.1654971+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:16:09.1694262+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:16:09.1707437+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 4 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:16:10.6607020+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 2.
2026-09-02T10:16:10.6621639+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 3.
