2026-09-07T09:36:53.3134508+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T09:36:53.3143971+05:30 | Information | Lifecycle | Window activated.
2026-09-07T09:36:53.8290220+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 6 MB. Working set: 242 MB.
2026-09-07T09:36:54.9604272+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:36:56.7530648+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T09:36:58.8223431+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 7 MB. Working set: 249 MB.
2026-09-07T09:37:01.9179843+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T09:37:01.9187145+05:30 | Information | Lifecycle | Window activated.
2026-09-07T09:37:03.8251970+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 8 MB. Working set: 253 MB.
2026-09-07T09:37:08.8281751+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 249 MB.
2026-09-07T09:37:09.1034798+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T09:37:13.8291040+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 1 MB. Working set: 250 MB.
2026-09-07T09:37:18.8270267+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 250 MB.
2026-09-07T09:37:20.1459521+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T09:37:20.1488561+05:30 | Information | Lifecycle | Window activated.
2026-09-07T09:37:20.1883207+05:30 | Information | Lifecycle | Window deactivated.
2026-09-07T09:37:20.2261999+05:30 | Information | Lifecycle | Window resumed.
2026-09-07T09:37:20.2272019+05:30 | Information | Lifecycle | Window activated.
2026-09-07T09:37:23.8322010+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 2 MB. Working set: 253 MB.
2026-09-07T09:37:28.8264253+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 251 MB.
2026-09-07T09:37:33.8261919+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 251 MB.
2026-09-07T09:37:38.8290330+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 252 MB.
2026-09-07T09:37:41.3064131+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-07T09:37:41.3070817+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:37:41.3359423+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:37:41.3483017+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 425. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:37:41.3551098+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 425 calls.
2026-09-07T09:37:41.3560650+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 7 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:37:42.8464682+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-07T09:37:42.8481073+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 2.
2026-09-07T09:37:42.8495509+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:37:43.8238987+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 9 MB. Working set: 265 MB.
2026-09-07T09:37:44.5450253+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:37:48.8305238+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 4 MB. Working set: 261 MB.
