
2026-09-02T13:29:24.6556589+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: C:\Users\SuryaElayaperumal\AppData\Local\Packages\HybridTearDown_ph1m9x8skttmg\LocalState\evidence.log
2026-09-02T13:29:24.6761997+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-02T13:29:24.6826389+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 81 MB.
2026-09-02T13:29:25.0875535+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-02T13:29:25.3729045+05:30 | Information | Lifecycle | Window created.
2026-09-02T13:29:25.3948810+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:29:29.6875080+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 245 MB.
2026-09-02T13:29:31.2637424+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:29:34.6898610+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 245 MB.
2026-09-02T13:29:35.9899487+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T13:29:35.9908423+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:29:36.0074347+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:29:36.0490366+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T13:29:36.0497946+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:29:39.6852928+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 241 MB.
2026-09-02T13:29:44.6807245+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 245 MB.
2026-09-02T13:29:49.6056031+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 27 callbacks.
2026-09-02T13:29:49.6263516+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:29:49.6884429+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 247 MB.
2026-09-02T13:29:54.6935691+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 249 MB.
2026-09-02T13:29:55.7406572+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 24. WebView destroyed first: False.
2026-09-02T13:29:55.8035575+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 24 ticks.
2026-09-02T13:29:55.8045035+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 63 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T13:29:59.6911755+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 253 MB.
2026-09-02T13:30:01.3508542+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 1.
2026-09-02T13:30:01.3663242+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T13:30:01.3980744+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T13:30:01.4009435+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 27 callbacks.
2026-09-02T13:30:03.2440082+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 1.
2026-09-02T13:30:03.2459587+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 2.
2026-09-02T13:30:03.2468402+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T13:30:04.6846461+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 8 MB. Working set: 263 MB.
2026-09-02T13:30:09.6827574+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 8 MB. Working set: 261 MB.
2026-09-02T13:30:11.9078583+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 27 callbacks.
2026-09-02T13:30:11.9231686+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:30:14.6919435+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 9 MB. Working set: 260 MB.
2026-09-02T13:30:17.4802718+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 22. WebView destroyed first: False.
2026-09-02T13:30:17.4967478+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 22 ticks.
2026-09-02T13:30:17.4984423+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 16 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T13:30:19.6857273+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 9 MB. Working set: 262 MB.
2026-09-02T13:30:24.6116823+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 2.
2026-09-02T13:30:24.6150640+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T13:30:24.6328225+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T13:30:24.6361703+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 35 callbacks.
2026-09-02T13:30:24.6891607+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 2. GC heap: 6 MB. Working set: 262 MB.
2026-09-02T13:30:25.8685965+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 2.
2026-09-02T13:30:25.8714918+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 3.
2026-09-02T13:30:25.8731771+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T13:30:29.6858908+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 5 MB. Working set: 265 MB.
2026-09-02T13:30:33.7742459+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 28 callbacks.
2026-09-02T13:30:33.7952236+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:30:34.6851624+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 5 MB. Working set: 264 MB.
