2026-09-03T09:02:43.5353071+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-03T09:02:43.6669232+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-03T09:02:43.6821166+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 192 MB.
2026-09-03T09:02:44.3488614+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-03T09:02:45.6713123+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:02:45.6825527+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:02:48.6640254+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-03T09:02:53.6669352+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-03T09:02:58.6705599+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-03T09:03:03.6684730+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-03T09:03:08.6656635+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 348 MB.
2026-09-03T09:03:13.6639096+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 348 MB.
2026-09-03T09:03:18.6655812+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 345 MB.
2026-09-03T09:03:23.6687369+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 344 MB.
2026-09-03T09:03:28.6657910+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 343 MB.
2026-09-03T09:03:33.6655702+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 343 MB.
2026-09-03T09:03:38.6669932+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 344 MB.
2026-09-03T09:03:43.6646063+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 344 MB.
2026-09-03T09:03:48.6671765+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 345 MB.
2026-09-03T09:03:53.6717678+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 345 MB.
2026-09-03T09:03:58.6665058+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 345 MB.
2026-09-03T09:04:03.6652968+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 345 MB.
2026-09-03T09:04:08.6698651+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 344 MB.
2026-09-03T09:04:09.8169995+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:04:13.6672193+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-03T09:04:16.3527939+05:30 | Information | Diagnostics | [Rotation] Orientation changed to landscape. Rotation 1 this session. Activity recreated: False. Cycle 1.
2026-09-03T09:04:18.6692130+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 358 MB.
2026-09-03T09:04:22.3531118+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 2 this session. Activity recreated: False. Cycle 1.
2026-09-03T09:04:23.6675484+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 359 MB.
