2026-09-03T09:25:36.2374353+05:30 | Information | Evidence | Session started. Runtime: .NET 11.0.0-preview.7.26381.103. Evidence file: /data/user/0/com.microsoft.validation.hybridteardown/files/evidence.log
2026-09-03T09:25:36.3035136+05:30 | Information | Diagnostics | [Session] Diagnostics installed. Harness: v2. DisposeTimeout: 2s.
2026-09-03T09:25:36.3229145+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 0. GC heap: 0 MB. Working set: 192 MB.
2026-09-03T09:25:36.7960594+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 1.
2026-09-03T09:25:37.7477862+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:25:37.7575715+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:25:41.3051835+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-03T09:25:46.3076192+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-03T09:25:51.3053266+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-03T09:25:56.3046587+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 352 MB.
2026-09-03T09:26:01.3111779+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 350 MB.
2026-09-03T09:26:06.3073013+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 351 MB.
2026-09-03T09:26:09.3655605+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:26:11.3113445+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 3 MB. Working set: 354 MB.
2026-09-03T09:26:14.3403535+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:26:14.3653899+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:26:14.3971740+05:30 | Information | Diagnostics | [Lifecycle] Window destroying. Slow call in flight at shutdown: False.
2026-09-03T09:26:14.3978274+05:30 | Information | Diagnostics | [Lifecycle] Window destroyed. Shutdown took 0 ms. Unhandled: 0. Unobserved: 0.
2026-09-03T09:26:14.5474968+05:30 | Information | Diagnostics | [Rotation] Orientation changed to landscape. Rotation 1 this session. Activity recreated: True. Cycle 1.
2026-09-03T09:26:14.6355195+05:30 | Information | Lifecycle | Window created.
2026-09-03T09:26:14.6380696+05:30 | Information | Lifecycle | Window activated.
2026-09-03T09:26:16.3089172+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 4 MB. Working set: 362 MB.
2026-09-03T09:26:19.0540782+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-03T09:26:21.3059119+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 1. GC heap: 5 MB. Working set: 366 MB.
2026-09-03T09:26:24.8063250+05:30 | Information | Lifecycle | Window deactivated.
2026-09-03T09:26:24.8575679+05:30 | Information | Lifecycle | Window stopped/backgrounded.
2026-09-03T09:26:25.0498585+05:30 | Information | Diagnostics | [Rotation] Orientation changed to portrait. Rotation 2 this session. Activity recreated: True. Cycle 1.
